
  Page anchor parity — 320 page renders (20 universes × 8 pages × 2 viewports) — commit 45569d9a, the fix, rendered from page-anchor-parity.json

  ✅ PASS   390  mykonos    celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  mykonos    rsvp         anchor=left   mark:left@48 heading:left@48 paragraph:left@48
  ✅ PASS   390  mykonos    registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  mykonos    music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  mykonos    stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  mykonos    transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  amalfi     home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  amalfi     our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  amalfi     celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  amalfi     rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  amalfi     registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  amalfi     music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  amalfi     stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  amalfi     transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  sedona     home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  sedona     our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  sedona     celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  sedona     rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  sedona     registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  sedona     music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  sedona     stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  sedona     transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  aspen      home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  aspen      our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  aspen      celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  aspen      rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  aspen      registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  aspen      music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  aspen      stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  aspen      transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  taj        home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  taj        our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  taj        celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  taj        rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  taj        registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  taj        music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  taj        stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  taj        transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  havana     home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  havana     our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  havana     celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  havana     rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  havana     registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  havana     music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  havana     stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  havana     transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  edinburgh  home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  edinburgh  our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  edinburgh  celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  edinburgh  rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  edinburgh  registry     anchor=left   mark:left@24 paragraph:left@24
